source,target,score
732,23339,23.21
732,24418,23.23
732,7194,23.24
732,15577,23.27
732,3252,23.29
732,14266,23.3
732,891,23.31
732,2302,23.36
732,2840,23.36
732,14411,23.52
732,24906,23.54
732,23680,23.55
732,10640,23.56
732,17630,23.57
732,13447,23.64
732,2165,23.68
732,7702,23.71
732,8828,23.75
732,19436,23.8
732,22941,23.8
732,4977,23.8
732,14559,23.81
732,15641,23.84
732,14719,23.84
732,23994,23.86
732,5323,23.88
732,15913,23.89
732,5412,23.89
732,1839,23.91
732,4422,23.96
732,1994,23.98
732,16492,23.99
732,23116,24.03
732,13450,24.08
732,12854,24.09
732,5536,24.15
732,24203,24.16
732,8627,24.16
732,13843,24.17
732,26117,24.2
732,1907,24.2
732,16496,24.22
732,4765,24.24
732,12201,24.27
732,894,24.28
732,18605,24.29
732,15813,24.33
732,21112,24.33
732,25611,24.36
732,2645,24.37
732,3504,24.38
732,16638,24.38
732,6018,24.39
732,22645,24.39
732,22872,24.4
732,741,24.45
732,8054,24.45
732,18396,24.45
732,11964,24.48
732,18901,24.48
732,24674,24.55
732,4513,24.56
732,17765,24.58
732,7299,24.61
732,7933,24.64
732,9756,24.66
732,22105,24.66
732,20647,24.68
732,3990,24.69
732,24251,24.69
732,4533,24.71
732,22642,24.71
741,16277,21.49
741,24229,22.3
741,4736,22.42
741,10640,22.52
741,13620,22.54
741,827,22.54
741,24418,22.61
741,11367,22.96
741,7299,23.08
741,16181,23.17
741,2701,23.19
741,16638,23.25
741,13204,23.35
741,18577,23.42
741,10130,23.46
741,15264,23.55
741,25357,23.63
741,13393,23.65
741,10466,23.69
741,15321,23.69
741,19692,23.73
741,2269,23.76
741,23460,23.84
741,7353,23.88
741,20914,23.89
741,18705,23.91
741,2302,23.93
741,868,23.95
741,14624,23.99
741,796,24.05
741,8828,24.06
741,23793,24.07
741,20989,24.09
741,11434,24.12
741,18914,24.14
741,12284,24.2
741,19431,24.21
741,10093,24.21
741,10688,24.28
741,4422,24.35
741,1103,24.35
741,25812,24.4
741,6298,24.43
741,18994,24.48
741,16384,24.49
741,9328,24.52
741,10557,24.55
741,21112,24.55
741,25557,24.56
741,3118,24.57
741,13366,24.6
741,16199,24.61
741,2076,24.62
741,1670,24.62
741,5896,24.62
741,10935,24.63
741,18605,24.63
741,7789,24.65
741,2592,24.66
741,25027,24.68
741,10475,24.68
741,23298,24.71
741,24203,24.71
741,9706,24.71
741,5412,24.71
741,8987,24.72
796,14266,22.97
796,9706,23.32
796,13638,23.4
796,2701,23.5
796,13620,23.55
796,23116,23.6
796,2302,23.63
796,8828,23.66
796,22637,23.68
796,11367,23.69
796,16638,23.71
796,15321,23.81
796,24397,23.83
796,19291,23.88
796,23456,23.89
796,13366,23.9
796,2253,23.96
796,2269,23.97
796,10640,23.98
796,7762,24.06
796,15679,24.07
796,13393,24.08
796,14624,24.08
796,6063,24.15
796,10475,24.17
796,13675,24.21
796,827,24.21
796,13755,24.23
796,24989,24.24
796,16277,24.27
796,10952,24.28
796,1486,24.29
796,3983,24.3
796,20674,24.35
796,12204,24.39
796,25027,24.4
796,21394,24.41
796,3727,24.42
796,12812,24.42
796,3218,24.42
796,17233,24.42
796,18075,24.44
796,16181,24.47
796,11321,24.49
796,10935,24.49
796,13843,24.5
796,24579,24.5
796,21687,24.51
796,23793,24.52
796,19240,24.54
796,1463,24.55
796,8331,24.57
796,3263,24.57
796,8987,24.59
796,12025,24.59
796,5536,24.61
796,23680,24.61
796,18696,24.62
796,20782,24.62
796,24237,24.62
796,18293,24.63
796,1103,24.64
796,7933,24.67
796,8627,24.67
796,25611,24.68
796,19692,24.69
796,15746,24.69
796,5323,24.71
796,18655,24.71
796,12284,24.72
827,7299,21.22
827,18696,21.32
827,2701,21.34
827,22363,21.91
827,10130,22.57
827,2750,22.59
827,11367,22.6
827,11434,22.7
827,10640,22.71
827,12284,22.79
827,18577,22.87
827,18075,22.91
827,24418,23.0
827,1146,23.05
827,15321,23.14
827,13673,23.22
827,1556,23.28
827,19240,23.32
827,5896,23.33
827,2592,23.36
827,10688,23.42
827,13620,23.52
827,3263,23.59
827,16384,23.62
827,19238,23.71
827,16638,23.73
827,16277,23.73
827,7353,23.76
827,24579,23.81
827,990,23.81
827,19931,23.89
827,25005,23.9
827,25357,23.91
827,22083,23.91
827,18914,23.92
827,14133,23.93
827,16859,23.96
827,14624,23.96
827,19098,24.02
827,9420,24.05
827,10117,24.08
827,23793,24.09
827,868,24.09
827,24674,24.11
827,10466,24.16
827,24113,24.19
827,24162,24.19
827,5592,24.2
827,13393,24.23
827,15723,24.23
827,894,24.27
827,4736,24.32
827,14266,24.33
827,3983,24.33
827,11558,24.33
827,22637,24.36
827,13588,24.38
827,10557,24.4
827,19489,24.42
827,19413,24.43
827,19349,24.45
827,1532,24.47
827,13204,24.51
